CO_PROCEDIMENTO,NO_PROCEDIMENTO
01.01.01.001-0	ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA
01.01.01.002-8	ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA
01.01.01.003-6	PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO
01.01.01.009-5	PREVENÇÃO DA COVID-19 NAS ESCOLAS
01.01.01.010-9	ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A
01.01.01.011-7	ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO
01.01.02.001-5	AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL
01.01.02.002-3	AÇÃO COLETIVA DE BOCHECHO FLUORADO
01.01.02.003-1	AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA
01.01.02.004-0	AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE
01.01.02.005-8	APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)
01.01.02.006-6	APLICAÇÃO DE SELANTE (POR DENTE)
01.01.02.007-4	APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)
01.01.02.008-2	EVIDENCIAÇÃO DE PLACA BACTERIANA
01.01.02.009-0	SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA
01.01.02.010-4	ORIENTAÇÃO DE HIGIENE BUCAL
01.01.02.011-2	AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL
01.01.02.012-0	ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS
01.01.03.001-0	VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
01.01.03.002-9	VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE
01.01.04.002-4	AVALIAÇÃO ANTROPOMÉTRICA
01.01.04.003-2	COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
01.01.04.004-0	PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)
01.01.04.005-9	ADMINISTRAÇÃO DE VITAMINA A
01.01.04.007-5	MEDIÇÃO DE ALTURA
01.01.04.008-3	MEDIÇÃO DE PESO
01.01.04.009-1	DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM
01.01.04.010-5	DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO
01.01.04.011-3	DISPENSAÇÃO DE SUPLEMENTO DE FERRO
01.01.04.012-1	AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR
01.01.05.001-1	PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
01.01.05.002-0	TERAPIA COMUNITÁRIA
01.01.05.004-6	YOGA
01.01.05.005-4	OFICINA DE MASSAGEM/ AUTO-MASSAGEM
01.01.05.006-2	SESSÃO DE ARTETERAPIA
01.01.05.007-0	SESSÃO DE MEDITAÇÃO
01.01.05.008-9	SESSÃO DE MUSICOTERAPIA
01.01.05.009-7	SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE
01.01.05.010-0	SESSÃO DE BIODANÇA
